"Statistic Label","Year","Percentile","Age Group","UNIT","VALUE"
"Weekly Earnings","2011","70th percentile","15 - 24 years","€","366.21"
"Weekly Earnings","2011","70th percentile","15 years and over","€","772.5"
"Weekly Earnings","2011","70th percentile","25 - 29 years","€","626.65"
"Weekly Earnings","2011","70th percentile","30 - 39 years","€","855.17"
"Weekly Earnings","2011","70th percentile","40 - 49 years","€","937.57"
"Weekly Earnings","2011","70th percentile","50 - 59 years","€","918.6"
"Weekly Earnings","2011","70th percentile","60 years and over","€","667.65"
"Weekly Earnings","2011","75th percentile","15 - 24 years","€","395.61"
"Weekly Earnings","2011","75th percentile","15 years and over","€","851.9"
"Weekly Earnings","2011","75th percentile","25 - 29 years","€","678.45"
"Weekly Earnings","2011","75th percentile","30 - 39 years","€","926.42"
"Weekly Earnings","2011","75th percentile","40 - 49 years","€","1045.93"
"Weekly Earnings","2011","75th percentile","50 - 59 years","€","1036.45"
"Weekly Earnings","2011","75th percentile","60 years and over","€","744.86"
"Weekly Earnings","2011","80th percentile","15 - 24 years","€","430.81"
"Weekly Earnings","2011","80th percentile","15 years and over","€","951.6"
"Weekly Earnings","2011","80th percentile","25 - 29 years","€","740.95"
"Weekly Earnings","2011","80th percentile","30 - 39 years","€","1006.87"
"Weekly Earnings","2011","80th percentile","40 - 49 years","€","1160.77"
"Weekly Earnings","2011","80th percentile","50 - 59 years","€","1162.81"
"Weekly Earnings","2011","80th percentile","60 years and over","€","841.97"
"Weekly Earnings","2011","85th percentile","15 - 24 years","€","471.6"
"Weekly Earnings","2011","85th percentile","15 years and over","€","1078.5"
"Weekly Earnings","2011","85th percentile","25 - 29 years","€","811.41"
"Weekly Earnings","2011","85th percentile","30 - 39 years","€","1101.72"
"Weekly Earnings","2011","85th percentile","40 - 49 years","€","1296.66"
"Weekly Earnings","2011","85th percentile","50 - 59 years","€","1308.32"
"Weekly Earnings","2011","85th percentile","60 years and over","€","997.92"
"Weekly Earnings","2011","90th percentile","15 - 24 years","€","534.53"
"Weekly Earnings","2011","90th percentile","15 years and over","€","1252.45"
"Weekly Earnings","2011","90th percentile","25 - 29 years","€","886.08"
"Weekly Earnings","2011","90th percentile","30 - 39 years","€","1239.25"
"Weekly Earnings","2011","90th percentile","40 - 49 years","€","1505.35"
"Weekly Earnings","2011","90th percentile","50 - 59 years","€","1482.98"
"Weekly Earnings","2011","90th percentile","60 years and over","€","1216.94"
"Weekly Earnings","2011","95th percentile","15 - 24 years","€","660.79"
"Weekly Earnings","2011","95th percentile","15 years and over","€","1565.34"
"Weekly Earnings","2011","95th percentile","25 - 29 years","€","1022.09"
"Weekly Earnings","2011","95th percentile","30 - 39 years","€","1517.54"
"Weekly Earnings","2011","95th percentile","40 - 49 years","€","1935.38"
"Weekly Earnings","2011","95th percentile","50 - 59 years","€","1840.21"
"Weekly Earnings","2011","95th percentile","60 years and over","€","1596.4"
"Weekly Earnings","2012","5th percentile","15 - 24 years","€","75"
"Weekly Earnings","2012","5th percentile","15 years and over","€","122.9"
"Weekly Earnings","2012","5th percentile","25 - 29 years","€","150.48"
"Weekly Earnings","2012","5th percentile","30 - 39 years","€","173"
"Weekly Earnings","2012","5th percentile","40 - 49 years","€","153.69"
"Weekly Earnings","2012","5th percentile","50 - 59 years","€","138.57"
"Weekly Earnings","2012","5th percentile","60 years and over","€","87.44"
"Weekly Earnings","2012","10th percentile","15 - 24 years","€","99.35"
"Weekly Earnings","2012","10th percentile","15 years and over","€","178.92"
"Weekly Earnings","2012","10th percentile","25 - 29 years","€","208"
"Weekly Earnings","2012","10th percentile","30 - 39 years","€","237.79"
"Weekly Earnings","2012","10th percentile","40 - 49 years","€","210.56"
"Weekly Earnings","2012","10th percentile","50 - 59 years","€","204.08"
"Weekly Earnings","2012","10th percentile","60 years and over","€","124.64"
"Weekly Earnings","2012","15th percentile","15 - 24 years","€","119.48"
"Weekly Earnings","2012","15th percentile","15 years and over","€","218.41"
"Weekly Earnings","2012","15th percentile","25 - 29 years","€","253.47"
"Weekly Earnings","2012","15th percentile","30 - 39 years","€","303.35"
"Weekly Earnings","2012","15th percentile","40 - 49 years","€","272.82"
"Weekly Earnings","2012","15th percentile","50 - 59 years","€","239.84"
"Weekly Earnings","2012","15th percentile","60 years and over","€","163.08"
"Weekly Earnings","2012","20th percentile","15 - 24 years","€","138.89"
"Weekly Earnings","2012","20th percentile","15 years and over","€","268.82"
"Weekly Earnings","2012","20th percentile","25 - 29 years","€","297.96"
"Weekly Earnings","2012","20th percentile","30 - 39 years","€","350.22"
"Weekly Earnings","2012","20th percentile","40 - 49 years","€","331.07"
"Weekly Earnings","2012","20th percentile","50 - 59 years","€","299"
"Weekly Earnings","2012","20th percentile","60 years and over","€","203.15"
"Weekly Earnings","2012","25th percentile","15 - 24 years","€","157.43"
"Weekly Earnings","2012","25th percentile","15 years and over","€","315.22"
"Weekly Earnings","2012","25th percentile","25 - 29 years","€","330.24"
"Weekly Earnings","2012","25th percentile","30 - 39 years","€","395.24"
"Weekly Earnings","2012","25th percentile","40 - 49 years","€","380.61"
"Weekly Earnings","2012","25th percentile","50 - 59 years","€","346.89"
"Weekly Earnings","2012","25th percentile","60 years and over","€","221.89"
"Weekly Earnings","2012","30th percentile","15 - 24 years","€","176.43"
"Weekly Earnings","2012","30th percentile","15 years and over","€","352"
"Weekly Earnings","2012","30th percentile","25 - 29 years","€","355.4"
"Weekly Earnings","2012","30th percentile","30 - 39 years","€","439.07"
"Weekly Earnings","2012","30th percentile","40 - 49 years","€","430.79"
"Weekly Earnings","2012","30th percentile","50 - 59 years","€","396.72"
"Weekly Earnings","2012","30th percentile","60 years and over","€","263.44"
"Weekly Earnings","2012","35th percentile","15 - 24 years","€","195.99"
"Weekly Earnings","2012","35th percentile","15 years and over","€","392.81"
"Weekly Earnings","2012","35th percentile","25 - 29 years","€","383.34"
"Weekly Earnings","2012","35th percentile","30 - 39 years","€","481.41"
"Weekly Earnings","2012","35th percentile","40 - 49 years","€","482.11"
"Weekly Earnings","2012","35th percentile","50 - 59 years","€","450"
"Weekly Earnings","2012","35th percentile","60 years and over","€","305.66"
"Weekly Earnings","2012","40th percentile","15 - 24 years","€","214.73"
"Weekly Earnings","2012","40th percentile","15 years and over","€","435.42"
"Weekly Earnings","2012","40th percentile","25 - 29 years","€","410.99"
"Weekly Earnings","2012","40th percentile","30 - 39 years","€","524.77"
"Weekly Earnings","2012","40th percentile","40 - 49 years","€","534.87"
"Weekly Earnings","2012","40th percentile","50 - 59 years","€","506.45"
"Weekly Earnings","2012","40th percentile","60 years and over","€","341.25"
"Weekly Earnings","2012","45th percentile","15 - 24 years","€","236.43"
"Weekly Earnings","2012","45th percentile","15 years and over","€","480"
"Weekly Earnings","2012","45th percentile","25 - 29 years","€","440.17"
"Weekly Earnings","2012","45th percentile","30 - 39 years","€","569.45"
"Weekly Earnings","2012","45th percentile","40 - 49 years","€","587.85"
"Weekly Earnings","2012","45th percentile","50 - 59 years","€","565.67"
"Weekly Earnings","2012","45th percentile","60 years and over","€","378.13"
"Weekly Earnings","2012","50th percentile","15 - 24 years","€","258.89"
"Weekly Earnings","2012","50th percentile","15 years and over","€","527.08"
"Weekly Earnings","2012","50th percentile","25 - 29 years","€","469.6"
"Weekly Earnings","2012","50th percentile","30 - 39 years","€","614.62"
"Weekly Earnings","2012","50th percentile","40 - 49 years","€","645.19"
"Weekly Earnings","2012","50th percentile","50 - 59 years","€","624.11"
"Weekly Earnings","2012","50th percentile","60 years and over","€","424.25"
"Weekly Earnings","2012","55th percentile","15 - 24 years","€","283.04"
"Weekly Earnings","2012","55th percentile","15 years and over","€","577.81"
"Weekly Earnings","2012","55th percentile","25 - 29 years","€","500"
"Weekly Earnings","2012","55th percentile","30 - 39 years","€","664.92"
"Weekly Earnings","2012","55th percentile","40 - 49 years","€","703.43"
"Weekly Earnings","2012","55th percentile","50 - 59 years","€","684.34"
"Weekly Earnings","2012","55th percentile","60 years and over","€","469.6"
"Weekly Earnings","2012","60th percentile","15 - 24 years","€","306.65"
"Weekly Earnings","2012","60th percentile","15 years and over","€","633.93"
"Weekly Earnings","2012","60th percentile","25 - 29 years","€","532.68"
"Weekly Earnings","2012","60th percentile","30 - 39 years","€","717.15"
"Weekly Earnings","2012","60th percentile","40 - 49 years","€","771.12"
"Weekly Earnings","2012","60th percentile","50 - 59 years","€","745.06"
"Weekly Earnings","2012","60th percentile","60 years and over","€","524.69"
"Weekly Earnings","2012","65th percentile","15 - 24 years","€","330.22"
"Weekly Earnings","2012","65th percentile","15 years and over","€","695.52"
"Weekly Earnings","2012","65th percentile","25 - 29 years","€","570.53"
"Weekly Earnings","2012","65th percentile","30 - 39 years","€","775.82"
"Weekly Earnings","2012","65th percentile","40 - 49 years","€","847.12"
"Weekly Earnings","2012","65th percentile","50 - 59 years","€","817.53"
"Weekly Earnings","2012","65th percentile","60 years and over","€","585"
"Weekly Earnings","2012","70th percentile","15 - 24 years","€","351.45"
"Weekly Earnings","2012","70th percentile","15 years and over","€","767.55"
"Weekly Earnings","2012","70th percentile","25 - 29 years","€","611.62"
"Weekly Earnings","2012","70th percentile","30 - 39 years","€","843.4"
"Weekly Earnings","2012","70th percentile","40 - 49 years","€","938.96"
"Weekly Earnings","2012","70th percentile","50 - 59 years","€","907.77"
"Weekly Earnings","2012","70th percentile","60 years and over","€","652.65"
"Weekly Earnings","2012","75th percentile","15 - 24 years","€","379.22"
"Weekly Earnings","2012","75th percentile","15 years and over","€","847.69"
"Weekly Earnings","2012","75th percentile","25 - 29 years","€","663.52"
"Weekly Earnings","2012","75th percentile","30 - 39 years","€","916.14"
"Weekly Earnings","2012","75th percentile","40 - 49 years","€","1047.94"
"Weekly Earnings","2012","75th percentile","50 - 59 years","€","1025.21"
"Weekly Earnings","2012","75th percentile","60 years and over","€","724.96"
"Weekly Earnings","2012","80th percentile","15 - 24 years","€","412.06"
"Weekly Earnings","2012","80th percentile","15 years and over","€","949.36"
"Weekly Earnings","2012","80th percentile","25 - 29 years","€","725.62"
"Weekly Earnings","2012","80th percentile","30 - 39 years","€","998.35"
"Weekly Earnings","2012","80th percentile","40 - 49 years","€","1160.67"
"Weekly Earnings","2012","80th percentile","50 - 59 years","€","1151.02"
"Weekly Earnings","2012","80th percentile","60 years and over","€","821.19"
"Weekly Earnings","2012","85th percentile","15 - 24 years","€","454.49"
"Weekly Earnings","2012","85th percentile","15 years and over","€","1076.51"
"Weekly Earnings","2012","85th percentile","25 - 29 years","€","800.69"
"Weekly Earnings","2012","85th percentile","30 - 39 years","€","1090.71"
"Weekly Earnings","2012","85th percentile","40 - 49 years","€","1298.21"
"Weekly Earnings","2012","85th percentile","50 - 59 years","€","1294.81"
"Weekly Earnings","2012","85th percentile","60 years and over","€","964.36"
"Weekly Earnings","2012","90th percentile","15 - 24 years","€","514.25"
"Weekly Earnings","2012","90th percentile","15 years and over","€","1248.51"
"Weekly Earnings","2012","90th percentile","25 - 29 years","€","880.57"
"Weekly Earnings","2012","90th percentile","30 - 39 years","€","1220.45"
"Weekly Earnings","2012","90th percentile","40 - 49 years","€","1514.99"
"Weekly Earnings","2012","90th percentile","50 - 59 years","€","1482.1"
"Weekly Earnings","2012","90th percentile","60 years and over","€","1179.89"
"Weekly Earnings","2012","95th percentile","15 - 24 years","€","631.67"
"Weekly Earnings","2012","95th percentile","15 years and over","€","1571.1"
"Weekly Earnings","2012","95th percentile","25 - 29 years","€","1017.08"
"Weekly Earnings","2012","95th percentile","30 - 39 years","€","1501.48"
"Weekly Earnings","2012","95th percentile","40 - 49 years","€","1955.61"
"Weekly Earnings","2012","95th percentile","50 - 59 years","€","1846.15"
"Weekly Earnings","2012","95th percentile","60 years and over","€","1580.98"
"Weekly Earnings","2013","5th percentile","15 - 24 years","€","75.24"
"Weekly Earnings","2013","5th percentile","15 years and over","€","122.88"
"Weekly Earnings","2013","5th percentile","25 - 29 years","€","149.88"
"Weekly Earnings","2013","5th percentile","30 - 39 years","€","173"
"Weekly Earnings","2013","5th percentile","40 - 49 years","€","154.03"
"Weekly Earnings","2013","5th percentile","50 - 59 years","€","138"
"Weekly Earnings","2013","5th percentile","60 years and over","€","86.26"
"Weekly Earnings","2013","10th percentile","15 - 24 years","€","99.22"
"Weekly Earnings","2013","10th percentile","15 years and over","€","179.24"
"Weekly Earnings","2013","10th percentile","25 - 29 years","€","207.33"
"Weekly Earnings","2013","10th percentile","30 - 39 years","€","236.73"
"Weekly Earnings","2013","10th percentile","40 - 49 years","€","208.9"
"Weekly Earnings","2013","10th percentile","50 - 59 years","€","204.21"
"Weekly Earnings","2013","10th percentile","60 years and over","€","122.21"
"Weekly Earnings","2013","15th percentile","15 - 24 years","€","119.5"
"Weekly Earnings","2013","15th percentile","15 years and over","€","217.23"
"Weekly Earnings","2013","15th percentile","25 - 29 years","€","251.53"
"Weekly Earnings","2013","15th percentile","30 - 39 years","€","302.63"
"Weekly Earnings","2013","15th percentile","40 - 49 years","€","275.85"
"Weekly Earnings","2013","15th percentile","50 - 59 years","€","237.58"
"Weekly Earnings","2013","15th percentile","60 years and over","€","161.06"
"Weekly Earnings","2013","20th percentile","15 - 24 years","€","139.26"
"Weekly Earnings","2013","20th percentile","15 years and over","€","268"
"Weekly Earnings","2013","20th percentile","25 - 29 years","€","295.35"
"Weekly Earnings","2013","20th percentile","30 - 39 years","€","350"
"Weekly Earnings","2013","20th percentile","40 - 49 years","€","333.94"
"Weekly Earnings","2013","20th percentile","50 - 59 years","€","296.81"
"Weekly Earnings","2013","20th percentile","60 years and over","€","200"
"Weekly Earnings","2013","25th percentile","15 - 24 years","€","158"
"Weekly Earnings","2013","25th percentile","15 years and over","€","314.74"
"Weekly Earnings","2013","25th percentile","25 - 29 years","€","327.74"
"Weekly Earnings","2013","25th percentile","30 - 39 years","€","394.17"
"Weekly Earnings","2013","25th percentile","40 - 49 years","€","384.6"
"Weekly Earnings","2013","25th percentile","50 - 59 years","€","346.25"
"Weekly Earnings","2013","25th percentile","60 years and over","€","215.77"
"Weekly Earnings","2013","30th percentile","15 - 24 years","€","177.13"
"Weekly Earnings","2013","30th percentile","15 years and over","€","352"
"Weekly Earnings","2013","30th percentile","25 - 29 years","€","352.69"
"Weekly Earnings","2013","30th percentile","30 - 39 years","€","438.21"
"Weekly Earnings","2013","30th percentile","40 - 49 years","€","436.02"
"Weekly Earnings","2013","30th percentile","50 - 59 years","€","397.31"
"Weekly Earnings","2013","30th percentile","60 years and over","€","256.5"
"Weekly Earnings","2013","35th percentile","15 - 24 years","€","196.4"
"Weekly Earnings","2013","35th percentile","15 years and over","€","393.77"
"Weekly Earnings","2013","35th percentile","25 - 29 years","€","380.76"
"Weekly Earnings","2013","35th percentile","30 - 39 years","€","480.69"
"Weekly Earnings","2013","35th percentile","40 - 49 years","€","488.38"
"Weekly Earnings","2013","35th percentile","50 - 59 years","€","451.38"
"Weekly Earnings","2013","35th percentile","60 years and over","€","300"
"Weekly Earnings","2013","40th percentile","15 - 24 years","€","214.1"
"Weekly Earnings","2013","40th percentile","15 years and over","€","437.19"
"Weekly Earnings","2013","40th percentile","25 - 29 years","€","408.26"
"Weekly Earnings","2013","40th percentile","30 - 39 years","€","522.87"
"Weekly Earnings","2013","40th percentile","40 - 49 years","€","541.31"
"Weekly Earnings","2013","40th percentile","50 - 59 years","€","507.37"
"Weekly Earnings","2013","40th percentile","60 years and over","€","337.35"
"Weekly Earnings","2013","45th percentile","15 - 24 years","€","235.64"
"Weekly Earnings","2013","45th percentile","15 years and over","€","481.78"
"Weekly Earnings","2013","45th percentile","25 - 29 years","€","437.59"
"Weekly Earnings","2013","45th percentile","30 - 39 years","€","566.53"
"Weekly Earnings","2013","45th percentile","40 - 49 years","€","593.78"
"Weekly Earnings","2013","45th percentile","50 - 59 years","€","567"
"Weekly Earnings","2013","45th percentile","60 years and over","€","381.4"
"Weekly Earnings","2013","50th percentile","15 - 24 years","€","258.1"
"Weekly Earnings","2013","50th percentile","15 years and over","€","530"
"Weekly Earnings","2013","50th percentile","25 - 29 years","€","467.51"
"Weekly Earnings","2013","50th percentile","30 - 39 years","€","611.02"
"Weekly Earnings","2013","50th percentile","40 - 49 years","€","650.23"
"Weekly Earnings","2013","50th percentile","50 - 59 years","€","623.98"
"Weekly Earnings","2013","50th percentile","60 years and over","€","429.03"
"Weekly Earnings","2013","55th percentile","15 - 24 years","€","281.86"
"Weekly Earnings","2013","55th percentile","15 years and over","€","580.19"
"Weekly Earnings","2013","55th percentile","25 - 29 years","€","498"
"Weekly Earnings","2013","55th percentile","30 - 39 years","€","659.62"
"Weekly Earnings","2013","55th percentile","40 - 49 years","€","708.38"
"Weekly Earnings","2013","55th percentile","50 - 59 years","€","684.81"
"Weekly Earnings","2013","55th percentile","60 years and over","€","482.69"
"Weekly Earnings","2013","60th percentile","15 - 24 years","€","305.65"
"Weekly Earnings","2013","60th percentile","15 years and over","€","635.87"
"Weekly Earnings","2013","60th percentile","25 - 29 years","€","530.32"
"Weekly Earnings","2013","60th percentile","30 - 39 years","€","711.56"
"Weekly Earnings","2013","60th percentile","40 - 49 years","€","776.13"
"Weekly Earnings","2013","60th percentile","50 - 59 years","€","746.33"
"Weekly Earnings","2013","60th percentile","60 years and over","€","544.77"
"Weekly Earnings","2013","65th percentile","15 - 24 years","€","328.21"
"Weekly Earnings","2013","65th percentile","15 years and over","€","697.06"
"Weekly Earnings","2013","65th percentile","25 - 29 years","€","567.06"
"Weekly Earnings","2013","65th percentile","30 - 39 years","€","770.56"
"Weekly Earnings","2013","65th percentile","40 - 49 years","€","853.61"
"Weekly Earnings","2013","65th percentile","50 - 59 years","€","820.83"
"Weekly Earnings","2013","65th percentile","60 years and over","€","603.04"
"Weekly Earnings","2013","70th percentile","15 - 24 years","€","350"
"Weekly Earnings","2013","70th percentile","15 years and over","€","769.21"
"Weekly Earnings","2013","70th percentile","25 - 29 years","€","608.48"
"Weekly Earnings","2013","70th percentile","30 - 39 years","€","837.48"
"Weekly Earnings","2013","70th percentile","40 - 49 years","€","943.83"
"Weekly Earnings","2013","70th percentile","50 - 59 years","€","907.98"
"Weekly Earnings","2013","70th percentile","60 years and over","€","670.14"
"Weekly Earnings","2013","75th percentile","15 - 24 years","€","377.02"
"Weekly Earnings","2013","75th percentile","15 years and over","€","850.75"
"Weekly Earnings","2013","75th percentile","25 - 29 years","€","660.27"
"Weekly Earnings","2013","75th percentile","30 - 39 years","€","911.77"
"Weekly Earnings","2013","75th percentile","40 - 49 years","€","1051.2"
"Weekly Earnings","2013","75th percentile","50 - 59 years","€","1024.54"
"Weekly Earnings","2013","75th percentile","60 years and over","€","740.67"
"Weekly Earnings","2013","80th percentile","15 - 24 years","€","410"
"Weekly Earnings","2013","80th percentile","15 years and over","€","952.52"
"Weekly Earnings","2013","80th percentile","25 - 29 years","€","722.71"
"Weekly Earnings","2013","80th percentile","30 - 39 years","€","993.35"
"Weekly Earnings","2013","80th percentile","40 - 49 years","€","1159.38"
"Weekly Earnings","2013","80th percentile","50 - 59 years","€","1147.73"
"Weekly Earnings","2013","80th percentile","60 years and over","€","831.79"
"Weekly Earnings","2013","85th percentile","15 - 24 years","€","452.33"
"Weekly Earnings","2013","85th percentile","15 years and over","€","1078.94"
"Weekly Earnings","2013","85th percentile","25 - 29 years","€","799.75"
"Weekly Earnings","2013","85th percentile","30 - 39 years","€","1085.48"
"Weekly Earnings","2013","85th percentile","40 - 49 years","€","1292.21"
"Weekly Earnings","2013","85th percentile","50 - 59 years","€","1285.69"
"Weekly Earnings","2013","85th percentile","60 years and over","€","971.5"
"Weekly Earnings","2013","90th percentile","15 - 24 years","€","510.56"
"Weekly Earnings","2013","90th percentile","15 years and over","€","1246.5"
"Weekly Earnings","2013","90th percentile","25 - 29 years","€","880.33"
"Weekly Earnings","2013","90th percentile","30 - 39 years","€","1208.98"
"Weekly Earnings","2013","90th percentile","40 - 49 years","€","1503.85"
"Weekly Earnings","2013","90th percentile","50 - 59 years","€","1459.63"
"Weekly Earnings","2013","90th percentile","60 years and over","€","1179.27"
"Weekly Earnings","2013","95th percentile","15 - 24 years","€","622.08"
"Weekly Earnings","2013","95th percentile","15 years and over","€","1554.27"
"Weekly Earnings","2013","95th percentile","25 - 29 years","€","1022.85"
"Weekly Earnings","2013","95th percentile","30 - 39 years","€","1474.98"
"Weekly Earnings","2013","95th percentile","40 - 49 years","€","1937.34"
"Weekly Earnings","2013","95th percentile","50 - 59 years","€","1810.85"
"Weekly Earnings","2013","95th percentile","60 years and over","€","1551.35"
"Weekly Earnings","2014","5th percentile","15 - 24 years","€","77.81"
"Weekly Earnings","2014","5th percentile","15 years and over","€","124.62"
"Weekly Earnings","2014","5th percentile","25 - 29 years","€","150.35"
"Weekly Earnings","2014","5th percentile","30 - 39 years","€","173.67"
"Weekly Earnings","2014","5th percentile","40 - 49 years","€","158.08"
"Weekly Earnings","2014","5th percentile","50 - 59 years","€","139.58"
"Weekly Earnings","2014","5th percentile","60 years and over","€","88.61"
"Weekly Earnings","2014","10th percentile","15 - 24 years","€","102"
"Weekly Earnings","2014","10th percentile","15 years and over","€","180.6"
"Weekly Earnings","2014","10th percentile","25 - 29 years","€","208"
"Weekly Earnings","2014","10th percentile","30 - 39 years","€","237.19"
"Weekly Earnings","2014","10th percentile","40 - 49 years","€","212.02"
"Weekly Earnings","2014","10th percentile","50 - 59 years","€","207"
"Weekly Earnings","2014","10th percentile","60 years and over","€","126.29"
"Weekly Earnings","2014","15th percentile","15 - 24 years","€","123.1"
"Weekly Earnings","2014","15th percentile","15 years and over","€","218.38"
"Weekly Earnings","2014","15th percentile","25 - 29 years","€","251.92"
